Suburb,Rooms,Type,Price,Method,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,Sale_Year,Sale_Month
Kew East,3,h,1488000.0,S,Jellis,3102,Southern Metropolitan,2671,7.3,Boroondara City Council,2018,6
Balwyn,5,h,2936000.0,PI,hockingstuart,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,9
Reservoir,2,u,380000.0,PI,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,8
McKinnon,2,h,1265000.0,S,Buxton,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,2017,4
Camberwell,3,t,1515000.0,SP,hockingstuart,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2016,6
Springvale,3,h,680000.0,S,Other,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,2016,8
Mitcham,3,h,1047000.0,S,Ray,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,2017,5
Wyndham Vale,4,h,494500.0,S,hockingstuart,3024,Western Metropolitan,5262,27.2,Wyndham City Council,2018,6
Glen Waverley,5,h,1230000.0,S,Other,3150,Eastern Metropolitan,15321,16.7,Monash City Council,2017,5
Reservoir,2,h,596000.0,PI,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,5
South Yarra,3,h,1700000.0,VB,Marshall,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,10
Other,5,h,739000.0,S,Other,3036,Western Metropolitan,2339,14.5,Brimbank City Council,2017,8
Bentleigh East,5,h,1669000.0,S,Jellis,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2018,3
Pascoe Vale,3,h,980000.0,S,Nelson,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2018,7
Avondale Heights,4,h,850000.0,SP,Moonee,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council,2017,4
Other,3,h,825000.0,S,Nelson,3088,Eastern Metropolitan,1390,16.1,Banyule City Council,2017,12
Melbourne,3,u,750000.0,VB,Gary,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2017,7
Cheltenham,4,h,1410000.0,SP,Buxton,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2018,2
Thornbury,3,h,1200000.0,S,Woodards,3071,Northern Metropolitan,8870,7.0,Darebin City Council,2017,5
Lalor,3,h,700000.0,S,Other,3075,Northern Metropolitan,8279,16.3,Whittlesea City Council,2017,12
Croydon,3,h,775000.0,SP,McGrath,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2017,4
Camberwell,2,u,1100000.0,PI,hockingstuart,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2018,9
Ashwood,3,h,785000.0,S,Buxton,3147,Southern Metropolitan,2894,10.2,Monash City Council,2016,11
North Melbourne,3,h,1285000.0,PI,Jellis,3051,Northern Metropolitan,6821,1.8,Melbourne City Council,2018,2
Oakleigh South,3,h,1080000.0,S,Woodards,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,2016,11
Nunawading,2,h,1160000.0,S,Barry,3131,Eastern Metropolitan,4973,15.4,Manningham City Council,2016,11
Other,3,h,488000.0,SP,Other,3064,Northern Metropolitan,1158,20.6,Hume City Council,2018,10
South Morang,3,h,611000.0,S,Other,3752,Northern Metropolitan,7969,20.5,Whittlesea City Council,2017,10
Parkdale,2,t,790000.0,S,Buxton,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,2017,10
Point Cook,4,h,638500.0,S,hockingstuart,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2018,6
Other,3,h,785000.0,S,Ray,3169,South-Eastern Metropolitan,2727,17.5,Kingston City Council,2018,5
South Yarra,2,t,1040000.0,PI,RT,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,4
Mill Park,3,h,462000.0,S,Ray,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2017,4
Ascot Vale,2,u,420000.0,VB,Brad,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2018,8
Cheltenham,3,h,740000.0,S,Ray,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2017,6
Altona North,3,h,800000.0,SP,RT,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,2016,7
Edithvale,3,u,600000.0,S,Other,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,2016,9
Boronia,3,h,815000.0,SP,Other,3155,Eastern Metropolitan,9704,25.0,Knox City Council,2017,10
Noble Park,3,h,660000.0,S,Other,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,2017,6
Moorabbin,3,t,742500.0,S,Buxton,3189,Southern Metropolitan,2555,14.3,Kingston City Council,2018,3
Mentone,3,t,920000.0,S,Barry,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,2018,1
Balwyn,3,u,1060000.0,S,Fletchers,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,10
Dandenong,2,h,356000.0,S,Stockdale,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council,2016,11
Camberwell,2,u,435000.0,SP,LITTLE,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2016,11
Richmond,2,u,969000.0,S,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2018,2
Forest Hill,3,h,1100000.0,S,Noel,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,2017,9
Northcote,1,u,422000.0,S,Other,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2016,11
South Yarra,1,u,567500.0,S,hockingstuart,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2016,11
Other,3,h,1285000.0,S,Biggin,3121,Northern Metropolitan,1123,2.4,Yarra City Council,2018,2
Brunswick,3,h,1200000.0,VB,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,4
Other,2,u,570000.0,S,Gary,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2016,5
Brunswick West,4,h,1205000.0,S,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2017,4
Bundoora,3,h,680000.0,S,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2016,8
Port Melbourne,4,h,2000000.0,VB,Marshall,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2018,9
Surrey Hills,3,h,1905000.0,S,Fletchers,3127,Southern Metropolitan,5457,10.2,Boroondara City Council,2018,9
Highett,3,u,543000.0,S,Buxton,3190,Southern Metropolitan,4794,16.0,Bayside City Council,2018,6
Brunswick West,3,h,1100000.0,VB,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,7
Heidelberg West,2,u,471000.0,SP,Miles,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,2018,1
Altona,3,h,920000.0,VB,Other,3018,Western Metropolitan,5301,11.0,Hobsons Bay City Council,2017,8
Other,2,u,580000.0,PI,Ray,3166,Southern Metropolitan,768,12.3,Monash City Council,2018,8
Brighton,3,u,1410000.0,S,Other,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2017,6
Coburg North,3,h,800000.0,VB,Jellis,3058,Northern Metropolitan,3445,6.7,Darebin City Council,2018,6
Rosanna,3,h,910000.0,VB,Jellis,3084,Eastern Metropolitan,3540,8.9,Banyule City Council,2018,5
Blackburn North,3,h,998800.0,SP,Fletchers,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council,2016,4
Bundoora,3,h,715000.0,S,Ray,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2016,11
Kensington,2,t,750000.0,S,Other,3031,Northern Metropolitan,5263,3.4,Melbourne City Council,2016,8
Other,3,h,587000.0,S,YPA,3048,Northern Metropolitan,4704,17.4,Hume City Council,2018,2
Mount Waverley,3,h,1280000.0,S,Buxton,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2017,7
Forest Hill,3,h,890000.0,S,Fletchers,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,2017,4
Greensborough,3,h,876000.0,S,Morrison,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2018,1
Fawkner,2,t,480000.0,PI,LITTLE,3060,Northern Metropolitan,5070,13.1,Hume City Council,2018,9
Balwyn North,3,h,1425000.0,PI,Other,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2016,6
Niddrie,3,t,925000.0,S,Barry,3042,Western Metropolitan,2291,10.4,Moonee Valley City Council,2017,10
Abbotsford,2,h,911000.0,S,Purplebricks,3067,Northern Metropolitan,4019,3.0,Yarra City Council,2017,7
Watsonia,5,h,860000.0,S,Darren,3087,Northern Metropolitan,2329,14.5,Banyule City Council,2018,4
Other,4,h,1077000.0,SP,Prof.,3180,Eastern Metropolitan,2949,23.3,Knox City Council,2016,12
Oakleigh South,4,h,1120000.0,S,Buxton,3167,South-Eastern Metropolitan,3692,15.5,Kingston City Council,2017,6
Reservoir,3,h,900000.0,PI,Nelson,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2018,9
Other,4,h,1010000.0,S,Philip,3136,Eastern Metropolitan,1863,23.0,Maroondah City Council,2017,11
Elsternwick,2,u,700000.0,PI,Buxton,3185,Southern Metropolitan,4898,7.2,Glen Eira City Council,2018,4
Keilor East,3,t,785000.0,SP,Nelson,3033,Western Metropolitan,5629,11.7,Brimbank City Council,2018,5
Ascot Vale,3,h,1130000.0,S,Jellis,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2017,9
Wheelers Hill,3,h,1015000.0,S,Ray,3150,South-Eastern Metropolitan,7392,16.7,Monash City Council,2017,2
Glen Waverley,3,h,1310000.0,S,Harcourts,3150,Eastern Metropolitan,15321,16.7,Monash City Council,2017,8
Port Melbourne,2,h,1130000.0,S,Greg,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2016,5
Dingley Village,4,h,931000.0,S,Ray,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,2017,5
Hoppers Crossing,3,h,580000.0,SP,Greg,3029,Western Metropolitan,13830,18.4,Wyndham City Council,2017,12
Croydon,3,h,680000.0,S,Philip,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2017,2
Greenvale,4,h,750000.0,VB,Barry,3059,Northern Metropolitan,4864,20.4,Hume City Council,2017,12
Craigieburn,4,h,662000.0,S,LJ,3064,Northern Metropolitan,15510,20.6,Hume City Council,2017,7
Moonee Ponds,3,h,1260000.0,S,Nelson,3039,Western Metropolitan,6232,6.2,Moonee Valley City Council,2018,9
Other,3,h,800000.0,S,Ray,3136,Eastern Metropolitan,1863,23.0,Maroondah City Council,2017,10
Sydenham,4,h,740000.0,S,Purplebricks,3037,Western Metropolitan,3640,18.0,Brimbank City Council,2017,7
Burwood East,3,h,902000.0,S,Barry,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2016,6
Altona,3,u,605000.0,S,Other,3018,Western Metropolitan,5301,11.0,Hobsons Bay City Council,2017,2
Balwyn North,3,h,1525000.0,VB,Other,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2018,10
Moorabbin,4,h,1426000.0,S,McGrath,3189,Southern Metropolitan,2555,14.3,Kingston City Council,2016,9
Other,3,h,1100000.0,VB,Other,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,2016,6
Edithvale,4,h,1013500.0,S,Other,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,2016,11
Airport West,3,h,715000.0,S,Rendina,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,2017,3
Gladstone Park,3,h,680000.0,S,Barry,3043,Western Metropolitan,3285,12.9,Hume City Council,2017,9
McKinnon,2,u,675000.0,VB,Jellis,3204,Southern Metropolitan,2397,11.4,Glen Eira City Council,2017,11
Other,2,t,500000.0,VB,Village,3016,Western Metropolitan,802,6.8,Hobsons Bay City Council,2016,9
Dingley Village,4,h,912000.0,S,Ray,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,2016,4
Other,3,h,450000.0,SP,Barry,3048,Northern Metropolitan,4704,17.4,Hume City Council,2017,7
Burwood East,3,u,825000.0,S,McGrath,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2018,2
Dandenong,2,h,771000.0,S,Other,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council,2018,3
Fitzroy North,3,h,1210000.0,S,Jellis,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2018,6
Brighton East,2,u,950000.0,S,hockingstuart,3187,Southern Metropolitan,6938,10.3,Bayside City Council,2018,9
West Footscray,3,u,347000.0,SP,Jas,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council,2016,11
Preston,2,h,869000.0,S,hockingstuart,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2017,10
Other,3,h,396000.0,SP,C21,3177,South-Eastern Metropolitan,3533,28.8,Casey City Council,2017,10
Templestowe,5,h,1165000.0,S,Jellis,3106,Eastern Metropolitan,6202,15.5,Manningham City Council,2016,4
Airport West,3,h,1025000.0,S,Nelson,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,2017,12
Mulgrave,3,u,687000.0,S,Ray,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,6
Collingwood,2,u,561000.0,S,Raine,3066,Northern Metropolitan,4553,2.0,Yarra City Council,2017,6
Kew,3,h,1350000.0,VB,Jellis,3101,Southern Metropolitan,10331,5.4,Boroondara City Council,2017,9
Springvale,3,h,770000.0,S,Other,3171,South-Eastern Metropolitan,7412,20.8,Greater Dandenong City Council,2017,9
Other,4,h,2330000.0,S,Fletchers,3093,Eastern Metropolitan,1624,14.6,Banyule City Council,2017,2
Brighton East,8,h,1880000.0,VB,Buxton,3187,Southern Metropolitan,6938,10.3,Bayside City Council,2017,5
Altona North,3,h,781000.0,S,Jas,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,2016,9
Craigieburn,3,h,446000.0,S,Ray,3064,Northern Metropolitan,15510,20.6,Hume City Council,2016,12
Fairfield,2,t,910000.0,S,McGrath,3078,Northern Metropolitan,2970,5.7,Darebin City Council,2017,10
Other,2,u,665000.0,S,Woodards,3161,Southern Metropolitan,6923,7.8,Glen Eira City Council,2017,6
Essendon,3,h,1085000.0,S,Barry,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,2016,6
Mentone,2,u,796000.0,S,hockingstuart,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,2018,5
Boronia,4,h,950000.0,S,Other,3155,Eastern Metropolitan,9704,25.0,Knox City Council,2017,7
Other,3,h,582000.0,SP,Brad,3021,Western Metropolitan,1202,14.0,Brimbank City Council,2016,7
Reservoir,4,h,845000.0,SP,RW,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,12
Balwyn,3,h,1280000.0,S,Marshall,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,6
Hoppers Crossing,3,h,515000.0,S,hockingstuart,3029,Western Metropolitan,13830,18.4,Wyndham City Council,2017,6
Other,4,h,720000.0,VB,Barry,3806,Eastern Victoria,17093,35.2,Casey City Council,2018,7
Balwyn,4,h,2115000.0,S,Jellis,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,2017,8
North Melbourne,2,u,726000.0,S,Jellis,3051,Northern Metropolitan,6821,1.8,Melbourne City Council,2017,3
Ivanhoe,2,h,1395000.0,S,Miles,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,2017,12
South Melbourne,2,t,1050000.0,VB,Marshall,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,2018,2
St Albans,3,h,625000.0,S,YPA,3021,Western Metropolitan,14042,14.0,Brimbank City Council,2016,10
Mentone,1,u,421000.0,SP,Hodges,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,2018,3
Other,3,h,760000.0,S,Noel,3134,Eastern Metropolitan,1595,19.9,Maroondah City Council,2017,2
Doreen,4,h,556000.0,S,Ray,3754,Northern Victoria,7254,25.9,Nillumbik Shire Council,2017,12
Mernda,4,h,617500.0,S,HAR,3754,Northern Metropolitan,5812,25.9,Whittlesea City Council,2017,11
Other,3,h,1195000.0,S,Nelson,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,2016,11
Taylors Lakes,4,h,905000.0,S,Barry,3038,Western Metropolitan,5336,15.5,Brimbank City Council,2017,10
Other,3,h,770000.0,SP,Prof.,3180,Eastern Metropolitan,2949,23.3,Knox City Council,2018,2
Other,3,h,870000.0,PI,McGrath,3138,Eastern Victoria,8280,26.5,Yarra Ranges Shire Council,2017,10
Port Melbourne,3,h,1405000.0,SP,Chisholm,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2016,7
Greensborough,4,h,930000.0,PI,Ray,3088,Northern Metropolitan,8524,16.1,Banyule City Council,2018,3
Heathmont,4,h,1165000.0,S,Ray,3135,Eastern Metropolitan,3794,21.3,Maroondah City Council,2017,9
Other,4,h,460000.0,PI,Barry,3022,Western Metropolitan,1281,12.8,Brimbank City Council,2016,11
Bentleigh East,3,h,1405000.0,S,Woodards,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2016,9
Ascot Vale,3,h,1100000.0,PI,hockingstuart,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2017,6
Elwood,2,u,790000.0,S,Marshall,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2016,6
Blackburn North,3,h,1055000.0,PI,Jellis,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council,2016,12
Viewbank,4,h,1140000.0,VB,Miles,3084,Eastern Metropolitan,2698,8.9,Banyule City Council,2017,12
Reservoir,2,u,395000.0,S,Stockdale,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2017,4
Other,2,u,550000.0,SP,Buxton,3169,South-Eastern Metropolitan,2727,17.5,Kingston City Council,2018,6
Wantirna South,4,h,925000.0,S,Biggin,3152,Eastern Metropolitan,7082,14.7,Knox City Council,2016,9
Glen Waverley,3,u,1450000.0,S,Barry,3150,Eastern Metropolitan,15321,16.7,Monash City Council,2018,3
Hampton East,3,u,525000.0,S,Buxton,3188,Southern Metropolitan,2356,13.8,Bayside City Council,2016,8
Airport West,3,u,752000.0,S,Nelson,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,2017,2
Carlton North,4,h,2718000.0,S,Ray,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,2017,3
Kew East,4,h,2258000.0,S,Jellis,3102,Southern Metropolitan,2671,7.3,Boroondara City Council,2017,5
Mont Albert,3,h,2320000.0,S,Fletchers,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council,2018,3
Other,2,t,710000.0,S,Buxton,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,2017,2
Viewbank,5,h,1050000.0,S,Miles,3084,Eastern Metropolitan,2698,8.9,Banyule City Council,2018,2
Cheltenham,3,h,1470000.0,S,O'Brien,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2018,2
Prahran,2,h,1460000.0,S,Jellis,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,2017,3
Port Melbourne,3,h,1600000.0,SP,Hodges,3207,Southern Metropolitan,8648,3.5,Melbourne City Council,2017,9
Sydenham,4,h,561500.0,S,YPA,3037,Western Metropolitan,3640,18.0,Brimbank City Council,2016,6
Parkdale,3,u,720000.0,S,Chisholm,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,2017,11
Avondale Heights,3,h,1000000.0,SP,Moonee,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council,2018,2
Airport West,4,h,1425000.0,S,Nelson,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,2017,6
Elwood,3,h,1520000.0,S,Chisholm,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2017,5
Brunswick,3,h,1200000.0,PI,Williams,3056,Northern Metropolitan,11918,5.2,Moreland City Council,2018,5
Toorak,5,h,2170000.0,S,Other,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,2016,9
Doncaster East,2,u,740000.0,S,Barry,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,2016,5
Hampton,5,h,2980000.0,S,hockingstuart,3188,Southern Metropolitan,5454,13.8,Bayside City Council,2016,11
Bundoora,3,h,624000.0,S,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2016,5
Carnegie,2,t,930000.0,S,hockingstuart,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,2016,12
Burwood East,3,h,1040000.0,SP,Ray,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,2016,11
Other,3,h,1235000.0,S,Brad,3041,Western Metropolitan,1308,8.2,Moonee Valley City Council,2017,9
South Melbourne,2,h,1026000.0,S,hockingstuart,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,2016,10
Frankston South,4,h,1240000.0,S,Other,3199,South-Eastern Metropolitan,7566,38.0,Frankston City Council,2016,11
Elwood,2,u,1122000.0,SP,Biggin,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,2016,9
Craigieburn,3,h,513000.0,S,YPA,3064,Northern Metropolitan,15510,20.6,Hume City Council,2017,11
Reservoir,3,h,600000.0,PI,Barry,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,9
Other,3,h,550000.0,S,Raine,3437,Northern Victoria,3376,45.9,Macedon Ranges Shire Council,2017,12
Balwyn North,4,h,2155000.0,S,Jellis,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2016,8
Chadstone,4,h,995000.0,S,Woodards,3148,Southern Metropolitan,3582,11.7,Monash City Council,2017,8
Fitzroy North,3,h,1300000.0,S,Collins,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2018,9
Armadale,3,t,1385000.0,SP,Jellis,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,2018,5
Parkdale,3,t,799000.0,S,Buxton,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,2016,5
Heidelberg West,3,h,1375000.0,PI,Ray,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,2016,4
Moorabbin,4,h,1289000.0,S,RT,3189,Southern Metropolitan,2555,14.3,Kingston City Council,2017,6
Glen Iris,3,t,1650000.0,VB,Fletchers,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2018,6
Other,3,h,925000.0,S,Ray,3166,Southern Metropolitan,768,12.3,Monash City Council,2018,6
Mitcham,3,t,825000.0,S,Noel,3132,Eastern Metropolitan,6871,17.2,Whitehorse City Council,2016,1
Montmorency,3,h,907000.0,S,Jellis,3094,Eastern Metropolitan,3891,16.2,Banyule City Council,2018,1
Fitzroy North,2,h,1360000.0,SP,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2017,12
Preston,3,u,496000.0,S,hockingstuart,3072,Northern Metropolitan,14577,8.4,Darebin City Council,2016,8
Noble Park,3,h,630000.0,S,Other,3174,South-Eastern Metropolitan,11806,22.7,Greater Dandenong City Council,2017,11
Fitzroy North,2,t,736000.0,SP,Jellis,3068,Northern Metropolitan,6244,3.6,Moreland City Council,2018,10
Doncaster,4,h,1460000.0,SP,Other,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,2016,6
Richmond,2,u,592000.0,SP,Biggin,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2017,7
Oak Park,3,h,810000.0,SP,Brad,3046,Northern Metropolitan,2651,11.2,Moreland City Council,2016,8
Tullamarine,3,h,680000.0,S,RW,3043,Western Metropolitan,3296,12.9,Brimbank City Council,2018,7
Mentone,2,u,360000.0,PI,O'Brien,3194,South-Eastern Metropolitan,6162,20.0,Kingston City Council,2016,10
Coburg,3,h,1130000.0,SP,Other,3058,Northern Metropolitan,11204,6.7,Darebin City Council,2016,11
Mulgrave,4,h,1019500.0,S,Buxton,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,2
Newport,4,h,1120000.0,VB,Greg,3015,Western Metropolitan,5498,6.2,Hobsons Bay City Council,2018,6
St Albans,3,h,638000.0,S,Bells,3021,Western Metropolitan,14042,14.0,Brimbank City Council,2018,6
Sunbury,3,h,778000.0,S,Raine,3429,Western Metropolitan,14092,31.7,Hume City Council,2017,9
Parkdale,3,t,930000.0,S,hockingstuart,3195,South-Eastern Metropolitan,5087,21.5,Kingston City Council,2017,9
Malvern,3,h,1350000.0,S,Kay,3144,Southern Metropolitan,4675,5.9,Stonnington City Council,2017,4
Mount Waverley,3,h,1300000.0,S,McGrath,3149,Eastern Metropolitan,13366,14.2,Monash City Council,2018,5
Hawthorn East,2,t,679000.0,PI,Marshall,3123,Southern Metropolitan,6482,6.2,Boroondara City Council,2018,3
Clifton Hill,2,h,1270000.0,S,Nelson,3068,Northern Metropolitan,2954,3.6,Yarra City Council,2016,8
Richmond,3,h,2000000.0,VB,Jellis,3121,Northern Metropolitan,14949,2.4,Yarra City Council,2017,3
Hawthorn,1,u,430000.0,PI,Noel,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,2018,9
Sydenham,3,h,567000.0,S,Barry,3037,Western Metropolitan,3640,18.0,Brimbank City Council,2016,11
South Yarra,1,u,340000.0,VB,Greg,3141,Southern Metropolitan,14887,2.7,Melbourne City Council,2017,10
Other,3,h,1205000.0,SA,FN,3166,Southern Metropolitan,768,12.3,Monash City Council,2017,9
Williamstown,4,h,1600000.0,PI,Williams,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council,2018,3
Brunswick East,2,u,665000.0,S,Collins,3057,Northern Metropolitan,5533,4.0,Moreland City Council,2016,7
Brighton,3,h,1900000.0,VB,Marshall,3186,Southern Metropolitan,10579,10.5,Bayside City Council,2018,8
North Melbourne,2,t,880000.0,S,Rendina,3051,Northern Metropolitan,6821,1.8,Melbourne City Council,2018,2
Sunbury,3,h,431250.0,SP,Other,3429,Western Metropolitan,14092,31.7,Hume City Council,2017,8
Yarraville,4,h,1390000.0,S,Village,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council,2017,11
Bentleigh East,4,h,1181000.0,S,Other,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,2017,10
Brunswick West,2,u,468000.0,S,Brad,3055,Northern Metropolitan,7082,5.2,Moreland City Council,2018,2
Mill Park,3,h,700000.0,S,Love,3082,Northern Metropolitan,10529,17.9,Whittlesea City Council,2017,12
South Melbourne,3,h,1800000.0,S,Cayzer,3205,Southern Metropolitan,5943,1.9,Port Phillip City Council,2017,10
Frankston,4,h,795000.0,VB,Other,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,2017,12
Hoppers Crossing,3,h,535000.0,S,hockingstuart,3029,Western Metropolitan,13830,18.4,Wyndham City Council,2018,3
Melbourne,3,u,895000.0,S,hockingstuart,3000,Northern Metropolitan,17496,0.0,Melbourne City Council,2017,4
Ascot Vale,6,h,1430000.0,S,Nelson,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,2016,4
Other,3,h,750000.0,S,Ray,3166,Southern Metropolitan,768,12.3,Monash City Council,2017,7
Pascoe Vale,3,t,826000.0,S,Nelson,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,12
Thomastown,3,h,730000.0,S,Love,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council,2018,4
MacLeod,4,h,870000.0,S,Ray,3085,Northern Metropolitan,4168,12.7,Banyule City Council,2018,4
Other,4,h,1266000.0,S,Ray,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council,2017,11
Pascoe Vale,3,h,960000.0,S,hockingstuart,3044,Northern Metropolitan,7485,8.5,Moreland City Council,2017,2
Heidelberg,3,h,1325000.0,S,Miles,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,2017,9
Other,3,h,415000.0,SP,RW,3048,Northern Metropolitan,4704,17.4,Hume City Council,2018,6
Hampton East,3,h,1451000.0,S,Buxton,3188,Southern Metropolitan,2356,13.8,Bayside City Council,2017,10
Other,2,u,650000.0,S,Ray,3006,Southern Metropolitan,8400,0.7,Melbourne City Council,2018,10
Northcote,2,h,1295000.0,PI,McGrath,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2017,11
